"method,dataset_size,T,queries_num,conditions,seed,runtime_sec,imp_R,diversity,query_coverage"
"1,500,100,200,3,1976980206,0.4249138832092285,0.21959344038264433,4.2848555215080353e-07,0.81"
"2,500,100,200,3,1976980206,0.564635,0.383291,,0.79"
"1,500,100,200,3,1217979184,0.37358593940734863,0.22342768726676981,3.9315206001866443e-07,0.81"
"2,500,100,200,3,1217979184,0.529479,0.379538,,0.785"
"1,500,100,200,3,1004401199,0.31806206703186035,0.2179182806447582,4.7388656443381194e-07,0.77"
"2,500,100,200,3,1004401199,0.460169,0.376854,,0.785"
"1,500,100,200,3,705799545,0.2847411632537842,0.2166011436740529,3.913590583826121e-07,0.77"
"2,500,100,200,3,705799545,0.437229,0.375734,,0.755"
"1,2000,400,100,1,2013090813,0.14151668548583984,0.22796549780372888,5.800262468103057e-07,0.85"
"2,2000,400,100,1,2013090813,0.229793,0.448634,,0.86"
"1,2000,400,100,1,398565021,0.15999197959899902,0.21676159059866504,4.4827409317882427e-07,0.88"
"2,2000,400,100,1,398565021,0.238762,0.437842,,0.89"
"1,2000,400,100,1,1741387518,0.16132807731628418,0.23988390779784605,5.820625808006241e-07,0.84"
"2,2000,400,100,1,1741387518,0.240405,0.446336,,0.82"
"1,2000,400,100,1,88176648,0.15456008911132812,0.2160548913958579,5.596337544488961e-07,0.85"
"2,2000,400,100,1,88176648,0.247557,0.445061,,0.86"
"1,2000,400,100,1,508464063,0.159837007522583,0.2162546028406102,6.315342517826394e-07,0.83"
"2,2000,400,100,1,508464063,0.247094,0.437874,,0.85"
"1,2000,400,100,3,1888567326,0.1636219024658203,0.23527873140428315,5.819019319730501e-07,0.83"
"2,2000,400,100,3,1888567326,0.273552,0.439671,,0.82"
"1,2000,400,100,3,1415633790,0.13546109199523926,0.21972726705916934,3.9118354977496494e-07,0.83"
"2,2000,400,100,3,1415633790,0.237834,0.444223,,0.91"
"1,2000,400,100,3,645529561,0.14743423461914062,0.22783570606148648,5.33157262450068e-07,0.82"
"2,2000,400,100,3,645529561,0.251413,0.441789,,0.82"
"1,2000,400,100,3,1227213195,0.1914830207824707,0.2176886211664867,5.618190742628926e-07,0.86"
"2,2000,400,100,3,1227213195,0.271208,0.446101,,0.85"
"1,2000,400,100,3,103737913,0.1576080322265625,0.21821964305266617,5.852806972406199e-07,0.93"
"2,2000,400,100,3,103737913,0.26954,0.44058,,0.91"
"1,2000,400,200,1,1053162922,0.29441094398498535,0.22150172628891404,6.653985213933566e-07,0.88"
"2,2000,400,200,1,1053162922,0.446492,0.447936,,0.9"
"1,2000,400,200,1,1252915824,0.28171300888061523,0.21855925752029648,5.096427078132848e-07,0.825"
"2,2000,400,200,1,1252915824,0.384764,0.442378,,0.87"
"1,2000,400,200,1,1630124795,0.2297840118408203,0.22616377845735644,4.3021185058833566e-07,0.87"
"2,2000,400,200,1,1630124795,0.400701,0.441343,,0.875"
"1,2000,400,200,1,631029232,0.2891690731048584,0.2229539086855294,6.252086454106021e-07,0.87"
"2,2000,400,200,1,631029232,0.477149,0.44811,,0.88"
"1,2000,400,200,1,97143004,0.3539450168609619,0.22189912631527778,5.610208211326295e-07,0.87"
"2,2000,400,200,1,97143004,0.552997,0.440737,,0.865"
"1,2000,400,200,3,2016703118,0.46211886405944824,0.21545307029575456,5.416952876258208e-07,0.795"
"2,2000,400,200,3,2016703118,0.667352,0.438579,,0.82"
"1,2000,400,200,3,401095018,0.47162389755249023,0.21882297031150755,4.907940598375404e-07,0.85"
"2,2000,400,200,3,401095018,0.638392,0.449368,,0.845"
"1,2000,400,200,3,209962718,0.39854884147644043,0.22239887189979815,4.3607192468098077e-07,0.845"
"2,2000,400,200,3,209962718,0.638844,0.437842,,0.84"
"1,2000,400,200,3,1918616754,0.4055309295654297,0.22312937581244727,5.918512602232084e-07,0.86"
"2,2000,400,200,3,1918616754,0.641624,0.442215,,0.855"
"1,2000,400,200,3,913782473,0.3916440010070801,0.21794404209868182,4.919570499861692e-07,0.83"
"2,2000,400,200,3,913782473,0.621897,0.444129,,0.82"
