method,dataset_size,T,queries_num,conditions,seed,runtime_sec,imp_R,diversity,query_coverage
1,4,1,200,3,636316194,1.3073921203613281,0.2706766917293233,1.0,0.54
2,4,1,200,3,636316194,1.874258,0.379163,0.0,0.49
3,4,1,200,3,636316194,0.430980920791626,0.0,1.0,0.49
1,4,1,200,3,241039677,1.2032601833343506,0.2704714640198511,1.0,0.545
2,4,1,200,3,241039677,2.076168,0.35866,0.0,0.46
3,4,1,200,3,241039677,1.8787031173706055,0.0,1.0,0.46
1,8,2,50,1,751516878,0.44788026809692383,0.26605504587155965,1.9298517550669914e-07,0.64
2,8,2,50,1,751516878,0.529618,0.450839,5e-06,0.72
3,8,2,50,1,751516878,0.42037320137023926,1.203973221675092e-06,4.815889985798627e-06,0.72
1,8,2,50,1,1077416563,0.42983198165893555,0.2935323383084577,9.553785818017246e-08,0.66
2,8,2,50,1,1077416563,0.560842,0.387072,5e-06,0.66
3,8,2,50,1,1077416563,0.5845379829406738,1.203973221675092e-06,4.815889985798627e-06,0.66
1,8,2,50,1,730226259,0.3565518856048584,0.2717948717948718,4.311630863451654e-06,0.62
2,8,2,50,1,730226259,0.491034,0.477943,5e-06,0.66
3,8,2,50,1,730226259,0.40787601470947266,1.203973221675092e-06,4.815889985798627e-06,0.66
1,8,2,50,1,178733087,0.4209251403808594,0.2832618025751073,1.15879027262622e-06,0.72
2,8,2,50,1,178733087,0.481252,0.439495,4e-06,0.72
3,8,2,50,1,178733087,0.4318416118621826,1.203973221675092e-06,4.815889985798627e-06,0.68
1,8,2,50,1,729369820,0.4388158321380615,0.275,4.177214504297311e-07,0.72
2,8,2,50,1,729369820,0.50517,0.442756,4e-06,0.74
3,8,2,50,1,729369820,0.49986720085144043,1.203973221675092e-06,4.815889985798627e-06,0.68
1,8,2,50,3,1293390036,0.43463993072509766,0.28879310344827586,5.013476145343532e-08,0.74
2,8,2,50,3,1293390036,0.532683,0.401449,5e-06,0.66
3,8,2,50,3,1293390036,0.4557020664215088,1.203973221675092e-06,4.815889985798627e-06,0.66
1,8,2,50,3,1991295828,0.42156267166137695,0.27626459143968873,9.553785818017246e-08,0.76
2,8,2,50,3,1991295828,0.532608,0.43918,4e-06,0.74
3,8,2,50,3,1991295828,0.42173004150390625,1.203973221675092e-06,4.815889985798627e-06,0.74
1,8,2,50,3,1081946151,0.46967005729675293,0.3105590062111801,3.8259746626412294e-07,0.54
2,8,2,50,3,1081946151,0.620753,0.408794,5e-06,0.48
3,8,2,50,3,1081946151,0.42557311058044434,1.203973221675092e-06,4.815889985798627e-06,0.48
1,8,2,50,3,1071840993,0.36487293243408203,0.2803738317757009,9.553785818017246e-08,0.64
2,8,2,50,3,1071840993,0.55674,0.42982,4e-06,0.6
3,8,2,50,3,1071840993,0.41641664505004883,1.203973221675092e-06,4.815889985798627e-06,0.56
